Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,24189.26,-7103.84,-22.70%,52084
January 2024,31293.10,1096.00,+3.63%,69583
December 2023,30197.11,2780.26,+10.14%,71186
November 2023,27416.85,468.19,+1.74%,68194
October 2023,26948.66,2185.36,+8.83%,75799
September 2023,24763.29,-3185.20,-11.40%,54755
August 2023,27948.49,-719.17,-2.51%,58368
July 2023,28667.66,-627.08,-2.14%,56705
June 2023,29294.74,-7629.12,-20.66%,65663
May 2023,36923.86,15173.24,+69.76%,114109
April 2023,21750.62,3264.53,+17.66%,106166
March 2023,18486.09,360.81,+1.99%,49565
February 2023,18125.29,-5036.77,-21.75%,41482
January 2023,23162.05,1352.94,+6.20%,48661
December 2022,21809.12,1657.05,+8.22%,59827
November 2022,20152.07,2254.61,+12.60%,52712
October 2022,17897.45,2974.59,+19.93%,52815
September 2022,14922.86,-4769.52,-24.22%,34123
August 2022,19692.38,-534.53,-2.64%,42771
July 2022,20226.91,1473.09,+7.85%,41440
June 2022,18753.82,1086.12,+6.15%,42280
May 2022,17667.70,-45.10,-0.25%,37868
April 2022,17712.79,1070.54,+6.43%,39965
March 2022,16642.26,-3197.83,-16.12%,40317
February 2022,19840.09,-3016.25,-13.20%,43406
January 2022,22856.33,274.86,+1.22%,46209
December 2021,22581.47,1760.10,+8.45%,49433
November 2021,20821.37,6072.42,+41.17%,60155
October 2021,14748.95,-280.56,-1.87%,39838
September 2021,15029.51,-2837.58,-15.88%,33365
August 2021,17867.09,-83.87,-0.47%,35976
July 2021,17950.97,-680.92,-3.65%,38799
June 2021,18631.89,711.34,+3.97%,43457
May 2021,17920.55,5152.28,+40.35%,45968
April 2021,12768.27,-507.96,-3.83%,26615
March 2021,13276.22,-6206.57,-31.86%,27733
February 2021,19482.79,-1324.11,-6.36%,40203
January 2021,20806.90,1271.98,+6.51%,42565
December 2020,19534.92,3698.20,+23.35%,40791
November 2020,15836.72,1712.35,+12.12%,34678
October 2020,14124.37,2786.97,+24.58%,39782
September 2020,11337.39,-2620.51,-18.77%,22870
August 2020,13957.90,-3623.54,-20.61%,24475
July 2020,17581.44,248.50,+1.43%,31896
June 2020,17332.93,3478.22,+25.10%,41440
May 2020,13854.71,-3721.79,-21.17%,26867
April 2020,17576.51,1917.44,+12.24%,45509
March 2020,15659.07,1312.63,+9.15%,30474
February 2020,14346.44,1410.27,+10.90%,29919
January 2020,12936.17,726.74,+5.95%,28747
December 2019,12209.43,2332.07,+23.61%,25760
November 2019,9877.36,1835.63,+22.83%,22538
October 2019,8041.74,68.07,+0.85%,18004
September 2019,7973.67,-1698.43,-17.56%,16546
August 2019,9672.10,452.79,+4.91%,19002
July 2019,9219.31,-2018.74,-17.96%,17301
June 2019,11238.05,-2046.14,-15.40%,24590
May 2019,13284.19,5864.88,+79.05%,66829
April 2019,7419.31,513.49,+7.44%,14782
March 2019,6905.83,-138.75,-1.97%,14841
February 2019,7044.58,-1467.39,-17.24%,14483
January 2019,8511.97,-791.80,-8.51%,17807
December 2018,9303.77,-2622.68,-21.99%,19502
November 2018,11926.44,6132.76,+105.85%,30287
October 2018,5793.69,997.81,+20.81%,14758
September 2018,4795.88,-869.34,-15.35%,9558
August 2018,5665.22,-3171.79,-35.89%,9739
July 2018,8837.00,-1958.28,-18.14%,17748
June 2018,10795.28,4597.94,+74.19%,28136
May 2018,6197.34,863.44,+16.19%,20692
April 2018,5333.90,-1197.14,-18.33%,9922
March 2018,6531.05,-1781.38,-21.43%,13545
February 2018,8312.42,-773.88,-8.52%,16243
January 2018,9086.30,255.15,+2.89%,19403
December 2017,8831.15,-1195.34,-11.92%,19130
November 2017,10026.49,3869.41,+62.84%,24985
October 2017,6157.08,559.51,+10.00%,14651
September 2017,5597.56,-723.47,-11.45%,12296
August 2017,6321.03,-1601.85,-20.22%,11082
July 2017,7922.88,274.54,+3.59%,15423
June 2017,7648.34,1009.54,+15.21%,14631
May 2017,6638.80,-480.64,-6.75%,17138
April 2017,7119.45,822.21,+13.06%,14621
March 2017,6297.23,-1171.11,-15.68%,13289
February 2017,7468.34,-2388.84,-24.23%,14435
January 2017,9857.18,863.70,+9.60%,19338
December 2016,8993.47,461.78,+5.41%,19697
November 2016,8531.69,2860.90,+50.45%,20645
October 2016,5670.79,1196.65,+26.75%,16381
September 2016,4474.14,-371.05,-7.66%,9019
August 2016,4845.19,-1614.33,-24.99%,8435
July 2016,6459.51,740.05,+12.94%,14146
June 2016,5719.46,-515.19,-8.26%,11625
May 2016,6234.65,229.68,+3.82%,15046
April 2016,6004.97,810.38,+15.60%,17666
March 2016,5194.59,-1377.64,-20.96%,11154
February 2016,6572.23,-1120.38,-14.56%,14376
January 2016,7692.61,2529.04,+48.98%,17213
December 2015,5163.57,1701.71,+49.16%,12508
November 2015,3461.86,1014.35,+41.44%,8705
October 2015,2447.51,124.82,+5.37%,4505
September 2015,2322.70,-493.67,-17.53%,4358
August 2015,2816.37,-390.64,-12.18%,5210
July 2015,3207.01,-2118.77,-39.78%,5239
June 2015,5325.78,2160.79,+68.27%,11554
May 2015,3164.98,278.09,+9.63%,6818
April 2015,2886.90,137.01,+4.98%,9240
March 2015,2749.89,-750.24,-21.43%,5922
February 2015,3500.12,-3140.91,-47.30%,7268
January 2015,6641.04,-2262.96,-25.42%,19612
December 2014,8904.00,-,-,16349
