Month,Avg. Players,Gain,%_Gain,Peak Players
February 2024,1645.95,-1524.31,-48.08%,3711
January 2024,3170.26,-867.00,-21.48%,7263
December 2023,4037.26,1607.15,+66.14%,13864
November 2023,2430.11,51.25,+2.15%,5219
October 2023,2378.85,-811.42,-25.43%,4654
September 2023,3190.27,619.79,+24.11%,7688
August 2023,2570.48,762.24,+42.15%,9784
July 2023,1808.24,201.78,+12.56%,3468
June 2023,1606.46,235.43,+17.17%,3529
May 2023,1371.03,-330.12,-19.41%,2892
April 2023,1701.15,-210.80,-11.03%,3427
March 2023,1911.95,-259.59,-11.95%,3993
February 2023,2171.54,-1262.08,-36.76%,4954
January 2023,3433.62,664.01,+23.97%,6745
December 2022,2769.61,696.83,+33.62%,5919
November 2022,2072.78,544.40,+35.62%,4224
October 2022,1528.38,84.47,+5.85%,3733
September 2022,1443.90,-11.49,-0.79%,3126
August 2022,1455.40,-138.45,-8.69%,3108
July 2022,1593.85,-452.89,-22.13%,3151
June 2022,2046.73,-32.11,-1.54%,4407
May 2022,2078.84,-366.14,-14.98%,4623
April 2022,2444.98,-311.57,-11.30%,5033
March 2022,2756.55,-1018.87,-26.99%,5694
February 2022,3775.42,-4366.76,-53.63%,8433
January 2022,8142.18,-11327.34,-58.18%,21146
December 2021,19469.52,-,-,52305
